Informazioni cronologiche,Indirizzo email,Title,Author list,Conference,Year,Category,Section,Sub-section,Short description (1-2 lines),Link paper,Link page,Link code,Link video,Note,Git Command
,,Personalized Egocentric Video Summarization of Cultural Tour on User Preferences Input, Patrizia Varini; Giuseppe Serra; Rita Cucchiara,IEEE Transactions on Multimedia,2017,Papers,Video summarization,,,https://ieeexplore.ieee.org/abstract/document/7931584?casa_token=gsvjlImpjQQAAAAA:F420NFVZd0V3igjGLVv8VpXnD1Ul5SakMxlfwcdAYCwNTsEjPgrLAKMhnUKX2VgOpoJgRm03XzI,,,,,
,,Highlight Detection with Pairwise Deep Ranking for First-Person Video Summarization, Ting Yao; Tao Mei; Yong Rui,CVPR,2016,Papers,Video summarization,,,https://ieeexplore.ieee.org/document/7780481,,,,,
,,Video Summarization with Long Short-term Memory," Ke Zhang, Wei-Lun Chao, Fei Sha, Kristen Grauman",ECCV,2016,Papers,Video summarization,,,https://arxiv.org/abs/1605.08110,,,,,
,,Discovering Picturesque Highlights from Egocentric Vacation Videos," Vinay Bettadapura, Daniel Castro, Irfan Essa",arXiv,2016,Papers,Video summarization,,,https://arxiv.org/abs/1601.04406,,,,,
,,Spatial and temporal scoring for egocentric video summarization," Zhao Guo, Lianli Gao, Xiantong Zhen, Fuhao Zou, Fumin Shen, Kai Zheng",Neurocomputing,2016,Papers,Video summarization,,,https://www.sciencedirect.com/science/article/pii/S0925231216304805?casa_token=2uf2ekbvb7cAAAAA:YxtgDl8G6D-uunhYGOGv_aMgJeWefuO9klkQdMIh-jXz3V4JzEocy_Og3pPbaWMIlG2URM5t,,,,,
,,Gaze-Enabled Egocentric Video Summarization via Constrained Submodular Maximization," Jia Xu, Lopamudra Mukherjee, Yin Li, Jamieson Warner, James M. Rehg, Vikas Singh",CVPR,2015,Papers,Video summarization,,,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Xu_Gaze-Enabled_Egocentric_Video_2015_CVPR_paper.html,,,,,
,,Predicting Important Objects for Egocentric Video Summarization, Yong Jae Lee & Kristen Grauman,IJCV,2015,Papers,Video summarization,,,https://link.springer.com/article/10.1007/s11263-014-0794-5?sa_campaign=email/event/articleAuthor/onlineFirst&error=cookies_not_supported&error=cookies_not_supported&code=9f9cd56d-eec9-49eb-bb9f-229724e371da&code=a2d596a3-5527-4ece-addc-1db7b036c200,,,,,
,,Video Summarization by Learning Submodular Mixtures of Objectives," Michael Gygli, Helmut Grabner, Luc Van Gool",CVPR,2015,Papers,Video summarization,,,https://openaccess.thecvf.com/content_cvpr_2015/papers/Gygli_Video_Summarization_by_2015_CVPR_paper.pdf,,,,,
,,Storyline Representation of Egocentric Videos with an Applications to Story-Based Search, Bo Xiong; Gunhee Kim; Leonid Sigal,ICCV,2015,Papers,Video summarization,,,https://ieeexplore.ieee.org/document/7410871,,,,,
,,Detecting Snap Points in Egocentric Video with a Web Photo Prior, Bo Xiong and Kristen Grauman,ECCV,2014,Papers,Video summarization,,,https://www.cs.utexas.edu/~grauman/papers/bo-eccv2014.pdf,,,,,
,,Creating Summaries from User Videos," Michael Gygli, Helmut Grabner, Hayko Riemenschneider, and Luc Van Gool",ECCV,2014,Papers,Video summarization,,,https://gyglim.github.io/me/papers/GygliECCV14_vsum.pdf,,,,,
,,Quasi Real-Time Summarization for Consumer Videos," Bin Zhao,  Eric P. Xing",CVPR,2014,Papers,Video summarization,,,https://www.cs.cmu.edu/~epxing/papers/2014/Zhao_Xing_cvpr14a.pdf,,,,,
,,Story-Driven Summarization for Egocentric Video, Zheng Lu and Kristen Grauman,CVPR,2013,Papers,Video summarization,,,https://www.cs.utexas.edu/~grauman/papers/lu-grauman-cvpr2013.pdf,,,,,
,,Discovering Important People and Objects for Egocentric Video Summarization," Yong Jae Lee, Joydeep Ghosh, and Kristen Grauman",CVPR,2012,Papers,Video summarization,,,http://vision.cs.utexas.edu/projects/egocentric/egocentric_cvpr2012.pdf,,,,,
,,Wearable hand activity recognition for event summarization," Mayol, W. W., & Murray, D. W., IEEE International Symposium on Wearable Computers",IEEE International Symposium on Wearable Computers,2005,Papers,Video summarization,,,https://ieeexplore.ieee.org/document/1550796,,,,,
,,Wearable System for Personalized and Privacy-preserving Egocentric Visual Context Detection using On-device Deep Learning," Mina Khan, Glenn Fernandes, Akash Vaish, Mayank Manuja, Pattie Maes",UMAP,2021,Papers,Applications,,,https://dl.acm.org/doi/abs/10.1145/3450614.3461684,,,,,
,,Learning Robot Activities From First-Person Human Videos Using Convolutional Future Regression," Jangwon Lee, Michael S. Ryoo",CVPR,2017,Papers,Applications,,,https://openaccess.thecvf.com/content_cvpr_2017_workshops/w5/html/Lee_Learning_Robot_Activities_CVPR_2017_paper.html,,,,,
,,R3M: A Universal Visual Representation for Robot Manipulation,"Suraj Nair, Aravind Rajeswaran, Vikash Kumar, Chelsea Finn,  Abhinav Gupta ",,2022,Papers,Human to Robot,,,https://arxiv.org/abs/2203.12601,,,,,
,,Learning Robot Activities From First-Person Human Videos Using Convolutional Future Regression," Jangwon Lee, Michael S. Ryoo",CVPR,2017,Papers,Human to Robot,,,https://openaccess.thecvf.com/content_cvpr_2017_workshops/w5/html/Lee_Learning_Robot_Activities_CVPR_2017_paper.html,,,,,
,,One-Shot Imitation from Observing Humans via Domain-Adaptive Meta-Learning," Tianhe Yu, Chelsea Finn, Annie Xie, Sudeep Dasari, Tianhao Zhang, Pieter Abbeel, Sergey Levine",RSS,2014,Papers,Human to Robot,,,http://www.roboticsproceedings.org/rss14/p02.pdf,,,,,
,,A Computational Model of Early Word Learning from the Infant's Point of View," Satoshi Tsutsui, Arjun Chandrasekaran, Md Alimoor Reza, David Crandall, Chen Yu",CogSci,2020,Papers,Asssitive Egocentric Vision,,,https://arxiv.org/abs/2006.02802,,,,,
,,Preserved action recognition in children with autism spectrum disorders: Evidence from an EEG and eye-tracking study," Mohammad Saber Sotoodeh, Hamidreza Taheri-Torbati, Nouchine Hadjikhani, Amandine Lassalle",Psychophysiology,2020,Papers,Asssitive Egocentric Vision,,,https://onlinelibrary.wiley.com/doi/10.1111/psyp.13740,,,,,
,,GSM," Swathikiran Sudhakaran, Sergio Escalera, Oswald Lanz",CVPR,2020,Papers,Popular Architectures,2D,,https://openaccess.thecvf.com/content_CVPR_2020/html/Sudhakaran_Gate-Shift_Networks_for_Video_Action_Recognition_CVPR_2020_paper.html,,https://github.com/swathikirans/GSM,,,
,,TSM," Ji Lin, Chuang Gan, Song Han",ICCV,2019,Papers,Popular Architectures,2D,,https://openaccess.thecvf.com/content_ICCV_2019/html/Lin_TSM_Temporal_Shift_Module_for_Efficient_Video_Understanding_ICCV_2019_paper.html,,,,,
,,TBN," Kazakos, Evangelos and Nagrani, Arsha and Zisserman, Andrew and Damen, Dima",ICCV,2019,Papers,Popular Architectures,2D,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Kazakos_EPIC-Fusion_Audio-Visual_Temporal_Binding_for_Egocentric_Action_Recognition_ICCV_2019_paper.pdf,,https://github.com/ekazakos/temporal-binding-network,,,
,,TRN," Bolei Zhou, Alex Andonian, Aude Oliva, Antonio Torralba",ECCV,2018,Papers,Popular Architectures,2D,,https://arxiv.org/pdf/1711.08496.pdf,,,,,
,,R(2+1)," Du Tran, Heng Wang, Lorenzo Torresani, Jamie Ray, Yann LeCun, Manohar Paluri",CVPR,2018,Papers,Popular Architectures,2D,,https://openaccess.thecvf.com/content_cvpr_2018/html/Tran_A_Closer_Look_CVPR_2018_paper.html,,,,,
,,TSN," Limin Wang, Yuanjun Xiong, Zhe Wang, Yu Qiao, Dahua Lin, Xiaoou Tang, Luc Van Gool",ECCV,2016,Papers,Popular Architectures,2D,,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_2,,,,,
,,SlowFast," Christoph Feichtenhofer, Haoqi Fan, Jitendra Malik, Kaiming He",ICCV,2019,Papers,Popular Architectures,3D,,https://openaccess.thecvf.com/content_ICCV_2019/html/Feichtenhofer_SlowFast_Networks_for_Video_Recognition_ICCV_2019_paper.html,,,,,
,,I3D," Joao Carreira, Andrew Zisserman",CVPR,2017,Papers,Popular Architectures,3D,,https://openaccess.thecvf.com/content_cvpr_2017/html/Carreira_Quo_Vadis_Action_CVPR_2017_paper.html,,,,,
,,LSTA," Sudhakaran, Swathikiran and Escalera, Sergio and Lanz, Oswald",CVPR,2019,Papers,Popular Architectures,RNN,,https://openaccess.thecvf.com/content_CVPR_2019/papers/Sudhakaran_LSTA_Long_Short-Term_Attention_for_Egocentric_Action_Recognition_CVPR_2019_paper.pdf,,https://github.com/swathikirans/LSTA,,,
,,RULSTM," Antonino Furnari, Giovanni Maria Farinella",ICCV,2019,Papers,Popular Architectures,RNN,,https://arxiv.org/pdf/1905.09035,,https://github.com/fpv-iplab/rulstm,,,
,,Ego-STAN," Jinman Park, Kimathi Kaai, Saad Hossain, Norikatsu Sumi, Sirisha Rambhatla, Paul Fieguth",WCVPR,2022,Papers,Popular Architectures,Transformer ,,https://arxiv.org/abs/2206.04785,,,,,
,,XViT," Adrian Bulat, Juan-Manuel Perez-Rua, Swathikiran Sudhakaran, Brais Martinez, Georgios Tzimiropoulos",NIPS,2021,Papers,Popular Architectures,Transformer ,,https://proceedings.neurips.cc/paper/2021/file/a34bacf839b923770b2c360eefa26748-Paper.pdf,,,,,
,,ViViT," Anurag Arnab, Mostafa Dehghani, Georg Heigold, Chen Sun, Mario Lučić, Cordelia Schmid",ICCV,2021,Papers,Popular Architectures,Transformer ,,https://openaccess.thecvf.com/content/ICCV2021/html/Arnab_ViViT_A_Video_Vision_Transformer_ICCV_2021_paper.html,,,,,
,,TimeSformer," Gedas Bertasius, Heng Wang, Lorenzo Torresani",ICML,2021,Papers,Popular Architectures,Transformer ,,https://arxiv.org/abs/2102.05095,,,,,
,,Revisiting 3D Object Detection From an Egocentric Perspective," Boyang Deng, Charles R. Qi, Mahyar Najibi, Thomas Funkhouser, Yin Zhou, Dragomir Anguelov",NIPS,2021,Papers,Other EGO-Context,,,https://proceedings.neurips.cc/paper/2021/hash/db182d2552835bec774847e06406bfa2-Abstract.html,,,,,
,,Learning by Watching," Jimuyang Zhang, Eshed Ohn-Bar",CVPR,2021,Papers,Other EGO-Context,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_Learning_by_Watching_CVPR_2021_paper.pdf,,,,,
,,Assembly101,,CVPR ,2022,Papers,Datasets,,Procedural activity dataset featuring 4321 videos of people assembling and disassembling 101 “take-apart” toy vehicles.,https://arxiv.org/pdf/2203.14712.pdf,https://assembly101.github.io/,,,,
,,EgoPAT3D,,CVPR,2022,Papers,Datasets,,"A large multimodality dataset of more than 1 million frames of RGB-D and IMU streams, with evaluation metrics based on high-quality 2D and 3D labels from semi-automatic annotation.",https://arxiv.org/abs/2203.13116,https://ai4ce.github.io/EgoPAT3D/,,,,
,,EasyCom-Clustering,,,2022,Papers,Datasets,, The first large-scale egocentric video face clustering dataset.,https://arxiv.org/abs/2203.13166,https://arxiv.org/abs/2203.13166,,,,
,,AGD20K,,CVPR,2022,Papers,Datasets,, Affordance dataset constructed by collecting and labeling over 20K images from 36 affordance categories.,https://arxiv.org/abs/2203.09905,https://github.com/lhc1224/Cross-View-AG,,,,
,,AssistQ,,ECCV,2022,Papers,Datasets,,"A new dataset comprising 529 question-answer samples derived from 100 newly filmed first-person videos. Each question should be completed with multi-step guidances by inferring from visual details (e.g., buttons' position) and textural details (e.g., actions like press/turn).",https://arxiv.org/abs/2203.04203,https://showlab.github.io/assistq/,,,,
,,HOI4D,,CVPR,2022,Papers,Datasets,,"A large-scale 4D egocentric dataset with rich annotations, to catalyze the research of category-level human-object interaction. HOI4D consists of 2.4M RGB-D egocentric video frames over 4000 sequences collected by 4 participants interacting with 800 different object instances from 16 categories over 610 different indoor rooms. Frame-wise annotations for panoptic segmentation, motion segmentation, 3D hand pose, category-level object pose and hand action have also been provided, together with reconstructed object meshes and scene point clouds.",https://arxiv.org/abs/2203.01577,https://hoi4d.github.io/,,,,
,,EgoPW,,CVPR,2022,Papers,Datasets,,"A dataset captured by a head-mounted fisheye camera and an auxiliary external camera, which provides an additional observation of the human body from a third-person perspective. ",https://arxiv.org/abs/2201.07929,https://arxiv.org/abs/2201.07929,,,,
,,First2Third-Pose,,,2022,Papers,Datasets,,"A new paired synchronized dataset of nearly 2,000 videos depicting human activities captured from both first- and third-view perspectives.",https://arxiv.org/abs/2201.02017,https://github.com/nudlesoup/First2Third-Pose,,,,
,,Ego4D,,CVPR,2022,Papers,Datasets,,"3,025 hours of daily-life activity video spanning hundreds of scenarios (household, outdoor, workplace, leisure, etc.) captured by 855 unique camera wearers from 74 worldwide locations and 9 different countries.",https://www.cs.utexas.edu/~grauman/papers/ego4d-cvpr2022.pdf,https://ego4d-data.org,,,,
,,EgoCom,,TPAMI,2020,Papers,Datasets,,A natural conversations dataset containing multi-modal human communication data captured simultaneously from the participants' egocentric perspectives.,https://ieeexplore.ieee.org/document/9200754,https://github.com/facebookresearch/EgoCom-Dataset,,,,
,,TREK-100,,WICCV,2021,Papers,Datasets,,Object tracking in first person vision.,https://openaccess.thecvf.com/content/ICCV2021W/VOT/html/Dunnhofer_Is_First_Person_Vision_Challenging_for_Object_Tracking_ICCVW_2021_paper.html,https://machinelearning.uniud.it/datasets/trek100/,,,,
,,MECCANO,,WACV,2021,Papers,Datasets,,20 subject assembling a toy motorbike.,https://openaccess.thecvf.com/content/WACV2021/html/Ragusa_The_MECCANO_Dataset_Understanding_Human-Object_Interactions_From_Egocentric_Videos_in_WACV_2021_paper.html,https://iplab.dmi.unict.it/MECCANO/,,,,
,,EPIC-Kitchens 2020,,IJCV,2021,Papers,Datasets,,Subjects performing unscripted actions in their native environments.,https://link.springer.com/article/10.1007/s11263-021-01531-2,https://epic-kitchens.github.io/2020-100,,,,
,,EPIC-Tent,,ICCV,2019,Papers,Datasets,,29 participants assembling a tent while wearing two head-mounted cameras.,https://openaccess.thecvf.com/content_ICCVW_2019/html/EPIC/Jang_EPIC-Tent_An_Egocentric_Video_Dataset_for_Camping_Tent_Assembly_ICCVW_2019_paper.html,https://data.bristol.ac.uk/data/dataset/2ite3tu1u53n42hjfh3886sa86,,,,
,,EGO-CH,,Pattern Recognition Letters,2020,Papers,Datasets,,"70 subjects visiting two cultural sites in Sicily, Italy.",https://www.sciencedirect.com/science/article/pii/S0167865519303794,https://iplab.dmi.unict.it/EGO-CH/,,,,
,,EPIC-Kitchens 2018,,ECCV,2018,Papers,Datasets,,32 subjects performing unscripted actions in their native environments.,https://openaccess.thecvf.com/content_ECCV_2018/html/Dima_Damen_Scaling_Egocentric_Vision_ECCV_2018_paper.html,https://epic-kitchens.github.io/2018,,,,
,,Charade-Ego,,,,Papers,Datasets,, Paired first-third person videos.,,https://allenai.org/plato/charades/,,,,
,,EGTEA Gaze+,,,,Papers,Datasets,," 32 subjects, 86 cooking sessions, 28 hours.",,http://cbs.ic.gatech.edu/fpv/,,,,
,,ADL,,,,Papers,Datasets,, 20 subjects performing daily activities in their native environments.,,https://www.csee.umbc.edu/~hpirsiav/papers/ADLdataset/,,,,
,,CMU kitchen,,,,Papers,Datasets,," Multimodal, 18 subjects cooking 5 different recipes: brownies, eggs, pizza, salad, sandwich.",,http://kitchen.cs.cmu.edu/index.php,,,,
,,EgoSeg,,,,Papers,Datasets,," Long term actions (walking, running, driving, etc.)",,http://www.vision.huji.ac.il/egoseg/,,,,
,,First-Person Social Interactions,,,,Papers,Datasets,, 8 subjects at disneyworld.,,http://ai.stanford.edu/~alireza/Disney/,,,,
,,UEC Dataset,,,,Papers,Datasets,," Two choreographed datasets with different egoactions (walk, jump, climb, etc.) + 6 YouTube sports videos.",,http://www.cs.cmu.edu/~kkitani/datasets/,,,,
,,JPL,,,,Papers,Datasets,, Interaction with a robot.,,http://michaelryoo.com/jpl-interaction.html,,,,
,,FPPA,,,,Papers,Datasets,, Five subjects performing 5 daily actions.,,http://tamaraberg.com/prediction/Prediction.html,,,,
,,UT Egocentric,,,,Papers,Datasets,, 3-5 hours long videos capturing a person's day.,,http://vision.cs.utexas.edu/projects/egocentric/index.html,,,,
,,VINST/ Visual Diaries,,,,Papers,Datasets,, 31 videos capturing the visual experience of a subject walking from metro station to work.,,http://www.csc.kth.se/cvap/vinst/NovEgoMotion.html,,,,
,,Bristol Egocentric Object Interaction (BEOID),,,,Papers,Datasets,," 8 subjects, six locations. Interaction with objects and environment.",,https://www.cs.bris.ac.uk/~damen/BEOID/,,,,
,,Object Search Dataset,,,,Papers,Datasets,, 57 sequences of 55 subjects on search and retrieval tasks.,,https://github.com/Mengmi/deepfuturegaze_gan,,,,
,,UNICT-VEDI,,,,Papers,Datasets,, Different subjects visiting a museum.,,http://iplab.dmi.unict.it/VEDI/,,,,
,,UNICT-VEDI-POI,,,,Papers,Datasets,, Different subjects visiting a museum.,,http://iplab.dmi.unict.it/VEDI_POIs/,,,,
,,Simulated Egocentric Navigations,,,,Papers,Datasets,, Simulated navigations of a virtual agent within a large building.,,http://iplab.dmi.unict.it/SimulatedEgocentricNavigations/,,,,
,,EgoCart,,,,Papers,Datasets,, Egocentric images collected by a shopping cart in a retail store.,,http://iplab.dmi.unict.it/EgocentricShoppingCartLocalization/,,,,
,,Unsupervised Segmentation of Daily Living Activities,,,,Papers,Datasets,, Egocentric videos of daily activities.,,http://iplab.dmi.unict.it/dailylivingactivities,,,,
,,Visual Market Basket Analysis,,,,Papers,Datasets,, Egocentric images collected by a shopping cart in a retail store.,,http://iplab.dmi.unict.it/vmba/,,,,
,,Location Based Segmentation of Egocentric Videos,,,,Papers,Datasets,, Egocentric videos of daily activities.,,http://iplab.dmi.unict.it/PersonalLocationSegmentation/,,,,
,,Recognition of Personal Locations from Egocentric Videos,,,,Papers,Datasets,, Egocentric videos clips of daily.,,http://iplab.dmi.unict.it/PersonalLocations/,,,,
,,EgoGesture,,,,Papers,Datasets,, 2k videos from 50 subjects performing 83 gestures.,,http://www.nlpr.ia.ac.cn/iva/yfzhang/datasets/egogesture.html,,,,
,,EgoHands,,,,Papers,Datasets,, 48 videos of interactions between two people.,,http://vision.soic.indiana.edu/projects/egohands/,,,,
,,DoMSEV,,,,Papers,Datasets,, 80 hours/different activities.,,http://www.verlab.dcc.ufmg.br/semantic-hyperlapse/cvpr2018-dataset/,,,,
,,DR(eye)VE,,,,Papers,Datasets,, 74 videos of people driving.,,http://aimagelab.ing.unimore.it/dreyeve,,,,
,,THU-READ,,,,Papers,Datasets,, 8 subjects performing 40 actions with a head-mounted RGBD camera.,,http://ivg.au.tsinghua.edu.cn/dataset/THU_READ.php,,,,
,,EgoDexter,,,,Papers,Datasets,,"4 sequences with 4 actors (2 female), and varying interactions with various objects and and cluttered background.",https://handtracker.mpi-inf.mpg.de/projects/OccludedHands/index.htm,https://handtracker.mpi-inf.mpg.de/projects/OccludedHands/EgoDexter.htm,,,,
,,First-Person Hand Action (FPHA),,,,Papers,Datasets,,3D hand-object interaction. Includes 1175 videos belonging to 45 different activity categories performed by 6 actors.,https://arxiv.org/pdf/1704.02463.pdf,https://guiggh.github.io/publications/first-person-hands/,,,,
,,UTokyo Paired Ego-Video (PEV),,,,Papers,Datasets,," 1,226 pairs of first-person clips extracted from the ones recorded synchronously during dyadic conversations.",,https://yonetaniryo.github.io/fpv_data.html,,,,
,,UTokyo Ego-Surf,,,,Papers,Datasets,, Contains 8 diverse groups of first-person videos recorded synchronously during face-to-face conversations.,,https://yonetaniryo.github.io/fpv_data.html,,,,
,,TEgO: Teachable Egocentric Objects Dataset,,,,Papers,Datasets,,  Contains egocentric images of 19 distinct objects taken by two people for training a teachable object recognizer.,,https://iamlabumd.github.io/tego/,,,,
,,Multimodal Focused Interaction Dataset,,,,Papers,Datasets,," Contains 377 minutes of continuous multimodal recording captured during 19 sessions, with 17 conversational partners in 18 different indoor/outdoor locations.",,https://cvip.computing.dundee.ac.uk/datasets/focusedinteraction/,,,,
,,GoPro,,,,Devices,,,,,https://gopro.com/it/it/,,,,
,,Narrative clip,,,,Devices,,,,,http://getnarrative.com/,,,,
,,Autographer5,,,,Devices,,,,,https://en.wikipedia.org/wiki/Autographer,,,,
,,Microsoft SenseCam,,,,Devices,,,,,https://www.microsoft.com/en-us/research/project/sensecam/,,,,
,,SMI eye-tracker,,,,Devices,,,,,https://imotions.com/hardware/smi-eye-tracking-glasses/,,,,
,,ASL Mobile eye,,,,Devices,,,,,https://est-kl.com/manufacturer/asl/mobile-eye-5.html,,,,
,,Tobii eye-tracker,,,,Devices,,,,,https://www.tobii.com/,,,,
,,Pupil Invisible,,,,Devices,,,,,https://pupil-labs.com/,,,,
,,Microsoft Hololens 2,,,,Devices,,,,,https://www.microsoft.com/it-it/hololens/,,,,
,,Google Glass,,,,Devices,,,,,https://www.google.com/glass/start/,,,,
,,Vusix Blade,,,,Devices,,,,,https://www.vuzix.com/products/vuzix-blade-smart-glasses-upgraded,,,,
,,Magic Leap,,,,Devices,,,,,https://www.magicleap.com/,,,,
,,Nreal Light,,,,Devices,,,,,https://www.nreal.ai/,,,,
,,Epson Moverio,,,,Devices,,,,,https://www.epson.it/products/see-through-mobile-viewer,,,,
,,Realwear,,,,Devices,,,,,https://www.realwear.com/,,,,
,,TCL Smart Glasses Thunderbird,,,,Devices,,,,,,,,,
,,OrCam,,,,Devices,,,,,https://www.orcam.com/it/,,,,
,,Xiaomi Smart Glasses,,,,Devices,,,,,,,,,
,,Ray-Ban Stories,,,,Devices,,,,,https://www.ray-ban.com/italy/ray-ban-stories,,,,
,,dynaEdge,,,,Devices,,,,,https://it.dynabook.com/generic/dynaedge/,,,,
,,Apple Glass,,,,Devices,,,,,,,,,
,,Alpha Glass,,,,Devices,,,,,,,,,
,,GWD HiiDii,,,,Devices,,,,,https://www.gwdbi.com/,,,,
,,Spectacles,,,,Devices,,,,,https://www.spectacles.com/it/shop/spectacles-3/,,,,
,,Ego4D,,,,Challenges,,,"Episodic Memory, Hand-Object Interactions, AV Diarization, Social, Forecasting.",,https://ego4d-data.org,,,,
,,Epic Kithchen Challenge,,,,Challenges,,,"Action Recognition, Action Detection, Action Anticipation, Unsupervised Domain Adaptation for Action Recognition, Multi-Instance Retrieval",,https://epic-kitchens.github.io/,,,,
24/11/2022 11.11.23,mirco.pl.93@gmail.com,Touch and Go," Fengyu Yang, Chenyang Ma, Jiacheng Zhang, Jing Zhu, Wenzhen Yuan, Andrew Owens",NeurIPS,2022,Papers,Datasets,,"we present a dataset, called Touch and Go, in which human data collectors walk through a variety of environments, probing objects with tactile sensors and simultaneously recording their actions on video ",https://arxiv.org/pdf/2211.12498.pdf,https://touch-and-go.github.io/,https://github.com/fredfyyang/Tactile-Driven-Image-Stylization/,,,
"17/07/2023, 12:48:31",mirco.pl.93@gmail.com,ManipulaTHOR: A Framework for Visual Object Manipulation,"Kiana Ehsani, Winson Han, Alvaro Herrasti, Eli VanderBilt, Luca Weihs, Eric Kolve, Aniruddha Kembhavi, Roozbeh Mottaghi",CVPR,2021,Papers,Human to Robot,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ehsani_ManipulaTHOR_A_Framework_for_Visual_Object_Manipulation_CVPR_2021_paper.pdf,https://ai2thor.allenai.org/manipulathor/,,,,
"17/07/2023, 12:59:55",mirco.pl.93@gmail.com,HOMAGE,"Nishant Rai, Haofeng Chen, Jingwei Ji, Rishi Desai, Kazuki Kozuka, Shun Ishizaka, Ehsan Adeli, Juan Carlos Niebles",CVPR,2021,Papers,Datasets,,Home Action Genome (HOMAGE): a multi-view action dataset with multiple modalities and view-points supplemented with hierarchical activity and atomic action labels together with dense scene composition labels,https://openaccess.thecvf.com/content/CVPR2021/papers/Rai_Home_Action_Genome_Cooperative_Compositional_Action_Understanding_CVPR_2021_paper.pdf,https://homeactiongenome.org/,,,,
"17/07/2023, 13:09:36",mirco.pl.93@gmail.com,ACTION-Net: Multipath Excitation for Action Recognition,"Zhengwei Wang, Qi She, Aljosa Smolic",CVPR,2021,Papers,Action/Activity Recognition,Action Recognition,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_ACTION-Net_Multipath_Excitation_for_Action_Recognition_CVPR_2021_paper.pdf,,https://github.com/V-Sense/ACTION-Net,,,
"17/07/2023, 13:30:37",mirco.pl.93@gmail.com,Knowledge Distillation for Human Action Anticipation,"Vinh Tran Stony Brook University, Stony Brook NY, Yang Wang,  Zekun Zhang, Minh Hoai",ICIP,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://ieeexplore.ieee.org/abstract/document/9506693?casa_token=BecLRxlT_acAAAAA:AT3srfvaOxi3pcMZ5jNhPziC75sADNRNhHLRXYAUWAe9yo5pUNlKIJvDw1a4Geg087evZvEkEA,,,,,
"17/07/2023, 13:36:14",mirco.pl.93@gmail.com,How You Move Your Head Tells What You Do: Self-supervised Video Representation Learning with Egocentric Cameras and IMU Sensors,"Satoshi Tsutsui, Ruta Desai, Karl Ridgeway",WICCV,2021,Papers,Multi-Modalities,IMU,,https://arxiv.org/abs/2110.01680,,,,,
"17/07/2023, 13:48:09",mirco.pl.93@gmail.com,NeuralDiff: Segmenting 3D objects that move in egocentric videos,"Vadim Tschernezki, Diane Larlus, Andrea Vedaldi",3DV,2021,Papers,Applications,,,https://ieeexplore.ieee.org/abstract/document/9665956?casa_token=MCT217Rr7zAAAAAA:i-kwUh6jAScWI81EYHQU2vcze3AF5OPWNoy5EdU3t2UP2JQ2s55gDT6QYDbVapahhQdHKpTU7A,,,,,
"17/07/2023, 13:52:30",mirco.pl.93@gmail.com,Moving SLAM: Fully Unsupervised Deep Learning in Non-Rigid Scenes,"Dan Xu, Andrea Vedaldi, João F. Henriques",IROS,2021,Papers,Multi-Modalities,Depth,,https://ieeexplore.ieee.org/abstract/document/9636075?casa_token=UYaHkHj4TJcAAAAA:NketkffyE1V5tUn7UeG_ko9rQGzgiwgSPrliBqW2uhuihLNYtSJa2vU-ufaRzWxRvWZzCMLqGw,,,,,
"17/07/2023, 13:55:05",mirco.pl.93@gmail.com,What If We Could Not See? Counterfactual Analysis for Egocentric Action Anticipation,"Tianyu Zhang, Weiqing Min, Jiahao Yang, Tao Liu, Shuqiang Jiang, Yong Rui",IJCAI,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://www.ijcai.org/proceedings/2021/0182.pdf,,,,,
"17/07/2023, 16:21:54",mirco.pl.93@gmail.com,H2O,"Taein Kwon, Bugra Tekin, Jan Stühmer, Federica Bogo, Marc Pollefeys",ICCV,2021,Papers,Datasets,,"H2O (2 Hands and Objects), provides synchronized multi-view RGB-D images, interaction labels, object classes, ground-truth 3D poses for left & right hands, 6D object poses, ground-truth camera poses, object meshes and scene point clouds.",https://openaccess.thecvf.com/content/ICCV2021/papers/Kwon_H2O_Two_Hands_Manipulating_Objects_for_First_Person_Interaction_Recognition_ICCV_2021_paper.pdf,https://taeinkwon.com/projects/h2o/,,,,
"17/07/2023, 16:27:06",mirco.pl.93@gmail.com,EPIC-Visor,"Ahmad Darkhalil, Dandan Shan, Bin Zhu, Jian Ma, Amlan Kar, Richard Higgins, Sanja Fidler, David Fouhey, Dima Damen",NeurIPS,2022,Papers,Datasets,,"VISOR, a new dataset of pixel annotations and a benchmark suite for segmenting hands and active objects in egocentric video",https://proceedings.neurips.cc/paper_files/paper/2022/hash/590a7ebe0da1f262c80d0188f5c4c222-Abstract-Datasets_and_Benchmarks.html,https://epic-kitchens.github.io/VISOR/,,,,
